id,question,option1,option2,option3,correct,explanation,difficulty,generated
1096,"Qual è il significato di 'finire'?","Iniziare","Continuare","Completare",2,"'Finire' significa 'completare' o 'terminare'.",B2,GPT4
1097,"Qual è il sinonimo di 'felice'?","Triste","Contento","Arrabbiato",1,"'Contento' è un sinonimo di 'felice'.",A2,GPT4
1098,"Qual è il significato di 'correre'?","Camminare","Saltare","Muoversi velocemente",2,"'Correre' significa 'muoversi velocemente'.",B2,GPT4
1099,"Qual è il participio passato del verbo 'decidere'?","deciso","deciduto","decidato",0,"La forma corretta è 'deciso'.",B1,GPT4
1100,"Qual è la forma corretta del congiuntivo presente del verbo 'venire' per 'noi'?","veniamo","venite","vengano",0,"La forma corretta è 'veniamo'.",B2,GPT4
1101,"Qual è il significato di 'urlare'?","Bisbigliare","Sussurrare","Gridare",2,"'Urlare' significa 'gridare'.",B2,GPT4
1102,"Qual è il sinonimo di 'profondo'?","Superficiale","Radicale","Basso",1,"'Radicale' è un sinonimo di 'profondo'.",A2,GPT4
1103,"Qual è la forma corretta del congiuntivo presente del verbo 'giocare' per 'noi'?","giochiamo","giocate","giochino",0,"La forma corretta è 'giochiamo'.",B2,GPT4
1104,"Qual è il significato di 'raggiungere'?","Allontanarsi","Arrivare","Perdere",1,"'Raggiungere' significa 'arrivare'.",B2,GPT4
1105,"Qual è il sinonimo di 'curioso'?","Indifferente","Interessato","Noioso",1,"'Interessato' è un sinonimo di 'curioso'.",A2,GPT4
1106,"Qual è il significato di 'sperare'?","Disperare","Desiderare","Rifiutare",1,"'Sperare' significa 'desiderare qualcosa'.",B2,GPT4
1107,"Qual è il participio passato del verbo 'chiudere'?","chiuso","chiudito","chiudato",0,"La forma corretta è 'chiuso'.",B1,GPT4
1108,"Qual è la forma corretta del congiuntivo presente del verbo 'correre' per 'noi'?","corriamo","correte","corrano",0,"La forma corretta è 'corriamo'.",B2,GPT4
1109,"Qual è il sinonimo di 'caldo'?","Freddo","Tiepido","Bollente",2,"'Bollente' è un sinonimo di 'caldo'.",A2,GPT4
1110,"Qual è il significato di 'leggere'?","Scrivere","Sfogliare","Decifrare",2,"'Leggere' significa 'decifrare un testo scritto'.",B2,GPT4
1111,"Qual è il sinonimo di 'lento'?","Rapido","Veloce","Graduale",2,"'Graduale' è un sinonimo di 'lento'.",A2,GPT4
1112,"Qual è il significato di 'ascoltare'?","Sentire","Ignorare","Parlare",0,"'Ascoltare' significa 'prestare attenzione a un suono'.",B2,GPT4
1113,"Qual è il participio passato del verbo 'scrivere'?","scritto","scrivuto","scrivato",0,"La forma corretta è 'scritto'.",B1,GPT4
1114,"Qual è la forma corretta del congiuntivo presente del verbo 'salire' per 'noi'?","saliamo","salite","salgano",0,"La forma corretta è 'saliamo'.",B2,GPT4
1115,"Qual è il significato di 'cominciare'?","Finire","Iniziare","Proseguire",1,"'Cominciare' significa 'iniziare'.",B2,GPT4
1116,"Qual è il sinonimo di 'dolce'?","Amaro","Piccante","Zuccherato",2,"'Zuccherato' è un sinonimo di 'dolce'.",A2,GPT4
1117,"Qual è il significato di 'frequentare'?","Evitare","Partecipare","Ignorare",1,"'Frequentare' significa 'partecipare a un evento o luogo'.",B2,GPT4
1118,"Qual è il participio passato del verbo 'decidere'?","deciso","deciduto","decidato",0,"La forma corretta è 'deciso'.",B1,GPT4
1119,"Qual è la forma corretta del congiuntivo presente del verbo 'parlare' per 'noi'?","parliamo","parlate","parlino",0,"La forma corretta è 'parliamo'.",B2,GPT4
1120,"Qual è il significato di 'credere'?","Dubitare","Accettare","Pensare",2,"'Credere' significa 'pensare' o 'avere fiducia'.",B2,GPT4
1121,"Qual è il sinonimo di 'trasparente'?","Opaco","Chiaro","Scuro",1,"'Chiaro' è un sinonimo di 'trasparente'.",A2,GPT4
1122,"Qual è il significato di 'convincere'?","Persuadere","Dissuadere","Ingannare",0,"'Convincere' significa 'persuadere qualcuno di qualcosa'.",B2,GPT4
1123,"Qual è la forma corretta del congiuntivo presente del verbo 'vedere' per 'loro'?","vedano","vedono","vediate",0,"La forma corretta è 'vedano'.",B2,GPT4
1124,"Qual è il participio passato del verbo 'aprire'?","aperto","aprito","apriuto",0,"La forma corretta è 'aperto'.",B1,GPT4
1125,"Qual è il significato di 'deludere'?","Soddisfare","Ingannare","Disappuntare",2,"'Deludere' significa 'disappuntare qualcuno'.",B2,GPT4
1126,"Qual è il sinonimo di 'solido'?","Liquido","Duro","Fragile",1,"'Duro' è un sinonimo di 'solido'.",A2,GPT4
1127,"Qual è la forma corretta del congiuntivo presente del verbo 'fare' per 'io'?","faccia","faccio","facci",0,"La forma corretta è 'faccia'.",B2,GPT4
1128,"Qual è il participio passato del verbo 'perdere'?","perso","perduto","perdiuto",0,"La forma corretta è 'perso'.",B1,GPT4
1129,"Qual è il significato di 'traslocare'?","Rimanere","Partire","Cambiare casa",2,"'Traslocare' significa 'cambiare casa'.",B2,GPT4
1130,"Qual è il sinonimo di 'liscio'?","Ruvido","Scivoloso","Piatto",2,"'Scivoloso' è un sinonimo di 'liscio'.",A2,GPT4
1131,"Qual è la forma corretta del congiuntivo presente del verbo 'venire' per 'loro'?","vengano","vengono","veniate",0,"La forma corretta è 'vengano'.",B2,GPT4
1132,"Qual è il participio passato del verbo 'scoprire'?","scoperto","scoprito","scoperto",0,"La forma corretta è 'scoperto'.",B1,GPT4
1133,"Qual è il significato di 'rimediare'?","Ignorare","Riparare","Rovinare",1,"'Rimediare' significa 'riparare un errore o un danno'.",B2,GPT4
1134,"Qual è il sinonimo di 'piccolo'?","Grande","Minuscolo","Enorme",1,"'Minuscolo' è un sinonimo di 'piccolo'.",A2,GPT4
1135,"Qual è la forma corretta del congiuntivo presente del verbo 'essere' per 'loro'?","siano","sono","siate",0,"La forma corretta è 'siano'.",B2,GPT4
1136,"Qual è il participio passato del verbo 'risolvere'?","risolto","risolvuto","risoluto",0,"La forma corretta è 'risolto'.",B1,GPT4
1137,"Qual è il significato di 'divulgare'?","Nascondere","Rivelare","Confondere",1,"'Divulgare' significa 'rivelare o diffondere'.",B2,GPT4
1138,"Qual è il sinonimo di 'allegro'?","Triste","Contento","Arrabbiato",1,"'Contento' è un sinonimo di 'allegro'.",A2,GPT4
1139,"Qual è la forma corretta del congiuntivo presente del verbo 'avere' per 'loro'?","abbiano","abbiate","hanno",0,"La forma corretta è 'abbiano'.",B2,GPT4
1140,"Qual è il participio passato del verbo 'nascere'?","nato","nasciuto","nasciato",0,"La forma corretta è 'nato'.",B1,GPT4
1141,"Qual è il significato di 'esaminare'?","Ignorare","Analizzare","Rifiutare",1,"'Esaminare' significa 'analizzare o studiare con attenzione'.",B2,GPT4
1142,"Qual è il sinonimo di 'affollato'?","Vuoto","Pieno","Tranquillo",1,"'Pieno' è un sinonimo di 'affollato'.",A2,GPT4
1143,"Qual è la forma corretta del congiuntivo presente del verbo 'andare' per 'loro'?","vadano","vadano","andiate",0,"La forma corretta è 'vadano'.",B2,GPT4
1144,"Qual è il participio passato del verbo 'dire'?","detto","ditto","diciuto",0,"La forma corretta è 'detto'.",B1,GPT4
1145,"Qual è il significato di 'affrontare'?","Evitare","Confrontare","Tollerare",1,"'Affrontare' significa 'confrontare un problema o una situazione'.",B2,GPT4
1146,"Qual è il sinonimo di 'alto'?","Basso","Elevato","Medio",1,"'Elevato' è un sinonimo di 'alto'.",A2,GPT4
1147,"Qual è la forma corretta del congiuntivo presente del verbo 'scrivere' per 'loro'?","scrivano","scrivono","scriviate",0,"La forma corretta è 'scrivano'.",B2,GPT4
1148,"Qual è il participio passato del verbo 'aprire'?","aperto","aprito","apriuto",0,"La forma corretta è 'aperto'.",B1,GPT4
1149,"Qual è il significato di 'rimandare'?","Anticipare","Posticipare","Ignorare",1,"'Rimandare' significa 'posticipare o rinviare'.",B2,GPT4
1150,"Qual è il sinonimo di 'forte'?","Debole","Potente","Fragile",1,"'Potente' è un sinonimo di 'forte'.",A2,GPT4
1151,"Qual è la forma corretta del congiuntivo presente del verbo 'partire' per 'loro'?","partano","partono","partiate",0,"La forma corretta è 'partano'.",B2,GPT4
1152,"Qual è il participio passato del verbo 'perdere'?","perso","perduto","perdiuto",0,"La forma corretta è 'perso'.",B1,GPT4
1153,"Qual è il significato di 'sorprendere'?","Annoiare","Deludere","Stupire",2,"'Sorprendere' significa 'stupire o meravigliare'.",B2,GPT4
1154,"Qual è il sinonimo di 'caldo'?","Freddo","Bollente","Gelido",1,"'Bollente' è un sinonimo di 'caldo'.",A2,GPT4
1155,"Qual è la forma corretta del congiuntivo presente del verbo 'credere' per 'loro'?","credano","credono","crediate",0,"La forma corretta è 'credano'.",B2,GPT4
1156,"Qual è il participio passato del verbo 'giungere'?","giunto","giungito","giungato",0,"La forma corretta è 'giunto'.",B1,GPT4
1157,"Qual è il significato di 'valutare'?","Ignorare","Apprezzare","Analizzare",2,"'Valutare' significa 'analizzare o giudicare'.",B2,GPT4
1158,"Qual è il sinonimo di 'curioso'?","Indifferente","Interessato","Noioso",1,"'Interessato' è un sinonimo di 'curioso'.",A2,GPT4
1159,"Qual è la forma corretta del congiuntivo presente del verbo 'nuotare' per 'loro'?","nuotino","nuotano","nuotiate",0,"La forma corretta è 'nuotino'.",B2,GPT4
1160,"Qual è il participio passato del verbo 'sorridere'?","sorriso","sorriduto","sorridato",0,"La forma corretta è 'sorriso'.",B1,GPT4
1161,"Qual è il significato di 'condividere'?","Rifiutare","Dividere","Ignorare",1,"'Condividere' significa 'dividere con qualcuno'.",B2,GPT4
1162,"Qual è il sinonimo di 'tranquillo'?","Calmo","Agitato","Rumoroso",0,"'Calmo' è un sinonimo di 'tranquillo'.",A2,GPT4
1163,"Qual è la forma corretta del congiuntivo presente del verbo 'viaggiare' per 'loro'?","viaggino","viaggiano","viaggiate",0,"La forma corretta è 'viaggino'.",B2,GPT4
1164,"Qual è il participio passato del verbo 'vivere'?","vissuto","vivito","viviuto",0,"La forma corretta è 'vissuto'.",B1,GPT4
1165,"Qual è il significato di 'riconoscere'?","Ignorare","Identificare","Nascondere",1,"'Riconoscere' significa 'identificare qualcosa o qualcuno'.",B2,GPT4
1166,"Qual è il sinonimo di 'bello'?","Brutto","Carino","Sgradevole",1,"'Carino' è un sinonimo di 'bello'.",A2,GPT4
1167,"Qual è la forma corretta del congiuntivo presente del verbo 'chiedere' per 'loro'?","chiedano","chiedono","chiediate",0,"La forma corretta è 'chiedano'.",B2,GPT4
1168,"Qual è il participio passato del verbo 'prendere'?","preso","prenduto","prendiato",0,"La forma corretta è 'preso'.",B1,GPT4
1169,"Qual è il significato di 'offendere'?","Lodare","Insultare","Ringraziare",1,"'Offendere' significa 'insultare o ferire qualcuno con le parole'.",B2,GPT4
1170,"Qual è il sinonimo di 'cominciare'?","Finire","Iniziare","Proseguire",1,"'Iniziare' è un sinonimo di 'cominciare'.",A2,GPT4
1171,"Qual è la forma corretta del congiuntivo presente del verbo 'preferire' per 'loro'?","preferiscano","preferiscono","preferiate",0,"La forma corretta è 'preferiscano'.",B2,GPT4
1172,"Qual è il participio passato del verbo 'rompere'?","rotto","romputo","rompato",0,"La forma corretta è 'rotto'.",B1,GPT4
1173,"Qual è il significato di 'spiegare'?","Confondere","Chiarire","Nascondere",1,"'Spiegare' significa 'chiarire qualcosa a qualcuno'.",B2,GPT4
1174,"Qual è il sinonimo di 'pesante'?","Leggero","Sottile","Grave",0,"'Leggero' è un sinonimo di 'pesante'.",A2,GPT4
1175,"Qual è la forma corretta del congiuntivo presente del verbo 'trovare' per 'loro'?","trovino","trovano","troviate",0,"La forma corretta è 'trovino'.",B2,GPT4
1176,"Qual è il participio passato del verbo 'scendere'?","sceso","scenduto","scendato",0,"La forma corretta è 'sceso'.",B1,GPT4
1177,"Qual è il significato di 'indagare'?","Ignorare","Esplorare","Investigare",2,"'Indagare' significa 'investigare o esplorare un argomento'.",B2,GPT4
1178,"Qual è il sinonimo di 'veloce'?","Lento","Rapido","Graduale",1,"'Rapido' è un sinonimo di 'veloce'.",A2,GPT4
1179,"Qual è la forma corretta del congiuntivo presente del verbo 'costruire' per 'loro'?","costruiscano","costruiscono","costruiate",0,"La forma corretta è 'costruiscano'.",B2,GPT4
1180,"Qual è il participio passato del verbo 'scegliere'?","scelto","scegliuto","scegliato",0,"La forma corretta è 'scelto'.",B1,GPT4
1181,"Qual è il significato di 'mentire'?","Dire la verità","Dire una bugia","Confondere",1,"'Mentire' significa 'dire una bugia'.",B2,GPT4
1182,"Qual è il sinonimo di 'economico'?","Caro","Costoso","Conveniente",2,"'Conveniente' è un sinonimo di 'economico'.",A2,GPT4
1183,"Qual è la forma corretta del congiuntivo presente del verbo 'piacere' per 'loro'?","piacciano","piacciono","piaciate",0,"La forma corretta è 'piacciano'.",B2,GPT4
1184,"Qual è il participio passato del verbo 'aprire'?","aperto","aprito","apriuto",0,"La forma corretta è 'aperto'.",B1,GPT4
1185,"Qual è il significato di 'preferire'?","Detestare","Gradire","Evitare",1,"'Preferire' significa 'gradire di più'.",B2,GPT4
1186,"Qual è il sinonimo di 'veloce'?","Lento","Rapido","Pigro",1,"'Rapido' è un sinonimo di 'veloce'.",A2,GPT4
1187,"Qual è la forma corretta del congiuntivo presente del verbo 'dormire' per 'loro'?","dormano","dormino","dormiate",1,"La forma corretta è 'dormino'.",B2,GPT4
1188,"Qual è il participio passato del verbo 'scrivere'?","scritto","scrivuto","scriviuto",0,"La forma corretta è 'scritto'.",B1,GPT4
1189,"Qual è il significato di 'dubitare'?","Credere","Sospettare","Accettare",1,"'Dubitare' significa 'sospettare' o 'non essere sicuri di qualcosa'.",B2,GPT4
1190,"Qual è il sinonimo di 'freddo'?","Gelido","Caldo","Bollente",0,"'Gelido' è un sinonimo di 'freddo'.",A2,GPT4
1191,"Qual è la forma corretta del congiuntivo presente del verbo 'vedere' per 'loro'?","vedano","vedono","vediate",0,"La forma corretta è 'vedano'.",B2,GPT4
